day, 08, 09, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
Mo,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
Tu,   1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
We,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
Th,   1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0
Fr,   0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
